step,time,baseline_particles,surrogate_particles,particle_count_delta,position_rmse,position_rel_l2,position_max_abs,gamma_rmse,gamma_rel_l2,gamma_max_abs,sigma_rmse,sigma_rel_l2,sigma_max_abs
21,0.07186987499999999,4140,2567,-1573,0.05138592104525284,0.046285064485596945,0.16179032107358182,0.03296055711889711,2.5600591085577036,0.22764873887634796,0.0020969026955051564,0.03103935891966075,0.008244814640984921
22,0.07529224999999999,4316,2668,-1648,0.053292128369120076,0.04751644115802572,0.17277284830947284,0.03260541141955947,2.5858434756436184,0.22812594019626387,0.0022008230990339783,0.03259804109504178,0.00875456380540128
23,0.078714625,4509,2769,-1740,0.05506520890465198,0.048683329140709684,0.1800453508684154,0.032495940465978375,2.634235269625633,0.22833929458321842,0.002295919970787813,0.03402510512034093,0.009250582411229814
24,0.082137,4676,2870,-1806,0.05695127104408943,0.049831926542755485,0.1922014860009745,0.031652655416952384,2.613158619276363,0.2283085378836416,0.002393896827491525,0.035498458201449555,0.009720647711519141
25,0.08555937500000001,4863,2971,-1892,0.05871653039828789,0.05093170529898895,0.19673377363795602,0.03066857342791465,2.582223547675023,0.2188663585084731,0.0024817872331858734,0.036820646738396696,0.010230462361448277
26,0.08898175000000001,5025,3072,-1953,0.060609026535810996,0.052039454348049866,0.20138108678993696,0.03014167586613447,2.580077976572837,0.2202544535039934,0.0025722666336540976,0.03818476620263183,0.010777917496930411
27,0.09240412500000002,5205,3173,-2032,0.062391658774551675,0.05309471628136315,0.2086961206112423,0.029665773528545627,2.584701231907295,0.2214560368912222,0.0026535231080527222,0.03941029750042979,0.011306401871370754
28,0.09582650000000002,5343,3274,-2069,0.06440066375826228,0.05425374677760783,0.2123943914038831,0.03010138888718638,2.657591764350915,0.22246481466029486,0.0027420608518237332,0.04074984908450581,0.01181678001130216
29,0.09924887500000003,5519,3375,-2144,0.06616826526608868,0.05525193125774936,0.2208438657400518,0.029564272924471943,2.653183632629276,0.22327498363179096,0.002816586575557374,0.041876642600322644,0.012309956351468053
30,0.10267125000000003,5620,3476,-2144,0.0683689382177971,0.05649647679011436,0.2276990203861461,0.029218839314976517,2.6465413094216585,0.2238871734496018,0.002907455281607478,0.043257206114922286,0.012789430038511983
