step,time,baseline_particles,surrogate_particles,particle_count_delta,position_rmse,position_rel_l2,position_max_abs,gamma_rmse,gamma_rel_l2,gamma_max_abs,sigma_rmse,sigma_rel_l2,sigma_max_abs
16,0.05475799999999998,3164,1896,-1268,0.0416275961526458,0.039172518053835766,0.12684952053891854,0.02944057111240759,1.9993304347128376,0.15204956082700474,0.0014746969051191482,0.021758586926236962,0.005589564666822713
17,0.05818037499999998,3365,1997,-1368,0.04365894108981327,0.04074774159048159,0.13565648722208867,0.030931091601167835,2.166089523172801,0.15228580692606672,0.0015810647675856195,0.023343755834224298,0.006239486221455912
18,0.06160274999999998,3560,2098,-1462,0.045619404711857055,0.04219830274078997,0.14315518515209974,0.031936426244828654,2.30027614784081,0.1525231420762176,0.0016857277930234743,0.02490594514875864,0.006900442897237069
19,0.06502512499999998,3757,2199,-1558,0.0474956317390074,0.04355841374198039,0.14927780030464585,0.031520276725297725,2.3322032942737336,0.15276315793139597,0.0017906963808243118,0.026473913988595978,0.0075152842778299506
20,0.06844749999999998,3944,2300,-1644,0.04938407557423364,0.04485920511423535,0.15530123615246733,0.0316451361300669,2.398999727312566,0.15300543964943947,0.0018956528703752114,0.028043797559829838,0.008055441608505506
21,0.07186987499999999,4140,2401,-1739,0.05117192717428023,0.04609231285409915,0.16342700394030685,0.03299980506353789,2.5631075114656814,0.15420132007653786,0.001995007811892964,0.02953106200569547,0.008490077848618202
22,0.07529224999999999,4316,2502,-1814,0.05302625208530826,0.047279379978792,0.16919531060758458,0.03292926452448008,2.611527354544883,0.15396987994631678,0.002097617224018707,0.031069381496515086,0.008690425348358163
23,0.078714625,4509,2603,-1906,0.05475996440430536,0.048413461491528566,0.17622389177783368,0.032071447926621206,2.5998244108281074,0.15373739671629666,0.0021921573402028157,0.032487362316524396,0.009177470226224275
24,0.082137,4676,2704,-1972,0.056621344066571315,0.04954324296104177,0.184118702393883,0.031158411224951575,2.572355139968194,0.2057259177105331,0.0022891540461113078,0.033945255405059466,0.009626259645836306
25,0.08555937500000001,4863,2805,-2058,0.05836038550782269,0.050622779235376655,0.19143120440649886,0.030247892011707644,2.5468031372163398,0.2072256700001003,0.0023762951970530376,0.035255530702573167,0.010134553012810403
26,0.08898175000000001,5025,2906,-2119,0.060211433123434244,0.05169807707448088,0.19770153137863117,0.031050425610958887,2.65786546301688,0.2085193287434036,0.00246355102525327,0.036570905479544474,0.01067188105391162
27,0.09240412500000002,5205,3007,-2198,0.06193856114292725,0.05270913444764744,0.20186202220111538,0.030905752819564435,2.692737383331153,0.20960297773424175,0.0025445295874369465,0.03779151865503313,0.011189889892680875
28,0.09582650000000002,5343,3108,-2235,0.06389705175829336,0.053829483480834384,0.20594489528452609,0.03000585922960884,2.6491576408564548,0.21047992493041193,0.002633802214838567,0.0391410142126226,0.011701778326159491
29,0.09924887500000003,5519,3209,-2310,0.06562405918910898,0.054797507424293616,0.21593035298975,0.02923480530303803,2.6236162523354016,0.1550411242532093,0.0027094685487054826,0.04028402571950096,0.012183937720488335
30,0.10267125000000003,5620,3310,-2310,0.06777357415651036,0.0560044993988171,0.22153358313458849,0.02909046178944442,2.6349133176024258,0.19454422023856713,0.002799315550157999,0.041648299975552125,0.012649386376550019
